# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev
22	0.000229411173	( -1.98 -0.003333333334 -7.12756167e-19 )	8.999289629	( 1.98 0.09666666667 0 )	1.044603252	1.626227627	0.2839156948	( 1.98 0.09 0 )	895.8430342	( -1.94 0.09666666667 0 )	445.8397875	425.1801484
23	0.0002282652461	( -1.98 -0.003333333334 -7.12756167e-19 )	9.007035256	( 1.98 0.09666666667 0 )	1.053579149	1.622594669	0.2828253162	( 1.98 0.09 0 )	896.1773254	( -1.94 0.09666666667 0 )	446.0817608	425.1958979
24	0.0002290735976	( -1.98 -0.003333333334 -7.12756167e-19 )	8.999024993	( 1.98 0.09666666667 0 )	1.06142633	1.617775583	0.280184427	( 1.98 0.09 0 )	896.1971318	( -1.94 0.09666666667 0 )	446.1243457	425.1536351
25	0.000227970284	( -1.98 -0.003333333334 -7.12756167e-19 )	8.977173761	( 1.98 0.09666666667 0 )	1.067985223	1.612141452	0.2773113866	( 1.98 0.09 0 )	896.3912437	( -1.94 0.09666666667 0 )	446.2559221	425.1873754
26	0.0002287578627	( -1.98 -0.003333333334 -7.12756167e-19 )	8.943158031	( 1.98 0.09666666667 0 )	1.073323773	1.605860106	0.2750518527	( 1.98 0.09 0 )	896.5485596	( -1.94 0.09666666667 0 )	446.3516582	425.2212829
27	0.0002277830367	( -1.98 0.003333333333 -7.12756167e-19 )	8.89904389	( 1.98 0.09666666667 0 )	1.077436529	1.599020219	0.2732431429	( 1.98 0.09 0 )	896.5770949	( -1.94 0.09666666667 0 )	446.3577545	425.2236933
28	0.0002285391892	( -1.98 0.003333333333 -7.12756167e-19 )	8.847157602	( 1.98 0.09666666667 0 )	1.080237123	1.591536665	0.2721563606	( 1.98 0.09 0 )	896.5132027	( -1.94 -0.09666666667 0 )	446.3181583	425.1944331
29	0.0002275981767	( -1.98 0.003333333333 -7.12756167e-19 )	8.789295804	( 1.98 0.09666666667 0 )	1.081779667	1.583468031	0.2709435951	( 1.98 0.09 0 )	896.3645535	( -1.94 -0.09666666667 0 )	446.2421305	425.1216464
30	0.0002284378275	( -1.98 0.003333333333 -7.12756167e-19 )	8.727433313	( 1.98 0.09666666667 0 )	1.082591581	1.574078022	0.2696562573	( 1.98 0.09 0 )	896.2915377	( -1.94 -0.09666666667 0 )	446.2226245	425.0667777
31	0.0002275304295	( -1.98 0.003333333333 -7.12756167e-19 )	8.663441816	( 1.98 0.09666666667 0 )	1.083340486	1.564253707	0.2681625676	( 1.98 0.09 0 )	896.3300725	( -1.94 -0.09666666667 0 )	446.2652774	425.0605543
32	0.0002283191629	( -1.98 0.003333333333 -7.12756167e-19 )	8.598972706	( 1.98 0.09666666667 0 )	1.083765474	1.555114359	0.2671435701	( 1.98 0.09 0 )	896.6469882	( -1.94 -0.09666666667 0 )	446.4572326	425.1784366
33	0.00022740194	( -1.98 0.003333333333 -7.12756167e-19 )	8.53542063	( 1.98 0.09666666667 0 )	1.084073989	1.546699602	0.2661059422	( 1.98 0.09 0 )	897.1930202	( -1.94 -0.09666666667 0 )	446.7805368	425.4007672
34	0.0002282173226	( -1.98 0.003333333333 -7.12756167e-19 )	8.473956055	( 1.98 0.09666666667 0 )	1.084418894	1.538953132	0.2653550022	( 1.98 0.09 0 )	897.646127	( -1.94 -0.09666666667 0 )	447.0485848	425.5882252
35	0.0002273097569	( -1.98 0.003333333333 -7.12756167e-19 )	8.415467353	( 1.98 0.09666666667 0 )	1.084866614	1.53186844	0.265371709	( 1.98 0.09 0 )	897.874906	( -1.94 -0.09666666667 0 )	447.1777452	425.6855788
36	0.0002281232909	( -1.98 0.003333333333 -7.12756167e-19 )	8.360571012	( 1.98 0.09666666667 0 )	1.085426971	1.525464446	0.2659871686	( 1.98 0.09 0 )	897.9988147	( -1.94 -0.09666666667 0 )	447.2336782	425.7504326
37	0.0002271814866	( -1.98 0.003333333333 -7.12756167e-19 )	8.309730707	( 1.98 0.09666666667 0 )	1.086115225	1.519715872	0.2670304256	( 1.98 0.09 0 )	898.0600903	( -1.94 -0.09666666667 0 )	447.231285	425.8057781
38	0.0002280165802	( -1.98 0.003333333333 -7.12756167e-19 )	8.263317049	( 1.98 0.09666666667 0 )	1.086950095	1.514568672	0.2680545429	( 1.98 0.09 0 )	898.0399445	( -1.94 -0.09666666667 0 )	447.179096	425.8351853
39	0.0002271004666	( -1.98 0.003333333333 -7.12756167e-19 )	8.221476495	( 1.98 0.09666666667 0 )	1.08793932	1.509942809	0.2699234614	( 1.98 0.09 0 )	898.0034434	( -1.94 -0.09666666667 0 )	447.1389036	425.8403094
40	0.0002278827527	( -1.98 0.003333333333 -7.12756167e-19 )	8.184208857	( 1.98 0.09666666667 0 )	1.089025207	1.505805602	0.2716913248	( 1.98 0.09 0 )	898.0046553	( -1.94 -0.09666666667 0 )	447.1349824	425.8510753
41	0.0002268918212	( -1.98 0.003333333333 -7.12756167e-19 )	8.15145884	( 1.98 0.09666666667 0 )	1.090220308	1.502058993	0.2731333378	( 1.98 0.09 0 )	898.0689455	( -1.94 -0.09666666667 0 )	447.1720779	425.882703
42	0.00022764111	( -1.98 0.003333333333 -7.12756167e-19 )	8.123074104	( 1.98 0.09666666667 0 )	1.091494556	1.498722621	0.2740697396	( 1.98 0.09 0 )	898.1972773	( -1.94 -0.09666666667 0 )	447.2474698	425.9353951
43	0.0002267310124	( -1.98 0.003333333333 -7.12756167e-19 )	8.098805761	( 1.98 0.09666666667 0 )	1.092820632	1.495760015	0.2746986452	( 1.98 0.09 0 )	898.3778267	( -1.94 -0.09666666667 0 )	447.3527756	426.0028784
44	0.0002275560383	( -1.98 0.003333333333 -7.12756167e-19 )	8.078259103	( 1.98 0.09666666667 0 )	1.0941766	1.493115069	0.2755778644	( 1.98 0.09 0 )	898.5151785	( -1.94 -0.09666666667 0 )	447.4294204	426.0524463
45	0.0002266276515	( -1.98 0.003333333333 -7.12756167e-19 )	8.060905611	( 1.98 0.09666666667 0 )	1.095519771	1.49073242	0.2768967788	( 1.98 0.09 0 )	898.578815	( -1.94 -0.09666666667 0 )	447.4601017	426.0803072
46	0.000227400824	( -1.98 0.003333333333 -7.12756167e-19 )	8.046146705	( 1.98 0.09666666667 0 )	1.096803245	1.488556979	0.27857481	( 1.98 0.09 0 )	898.6021455	( -1.94 -0.09666666667 0 )	447.4642333	426.0979983
47	0.0002263804792	( -1.98 0.003333333333 -7.12756167e-19 )	8.033369424	( 1.98 0.09666666667 0 )	1.097990657	1.486526601	0.2804721931	( 1.98 0.09 0 )	898.6101761	( -1.94 -0.09666666667 0 )	447.4589608	426.1128301
48	0.0002271230962	( -1.98 0.003333333333 -7.12756167e-19 )	8.021948644	( 1.98 0.09666666667 0 )	1.09909717	1.484672455	0.2826893447	( 1.98 0.09 0 )	898.6229179	( -1.94 -0.09666666667 0 )	447.4558672	426.1263002
49	0.0002261871534	( -1.98 0.003333333333 -7.12756167e-19 )	8.011281908	( 1.98 0.09666666667 0 )	1.100122635	1.482960662	0.2852642636	( 1.98 0.09 0 )	898.6739954	( -1.94 -0.09666666667 0 )	447.4776261	426.1475035
50	0.000227023749	( -1.98 0.003333333333 -7.12756167e-19 )	8.000848743	( 1.98 0.09666666667 0 )	1.101085739	1.481333257	0.2879220158	( 1.98 0.09 0 )	898.7453252	( -1.94 -0.09666666667 0 )	447.5173833	426.169594
