# FfowcsWilliamsHawkings Acoustic Analogy
# Time       	points1      	Size         3
1.000000e-03	       points1    1.205158e+00  -3.735137e+00  -3.542053e+00  
2.000000e-03	       points1    1.045630e-01  3.745523e-01  2.390079e-01  
3.000000e-03	       points1    3.004372e-01  1.392643e+00  1.353469e+00  
4.000000e-03	       points1    3.645240e-01  -8.241641e-01  -8.565374e-01  
5.000000e-03	       points1    3.887366e-01  7.311014e-02  3.265064e-02  
6.000000e-03	       points1    4.024916e-01  -1.675056e-01  -1.993716e-01  
7.000000e-03	       points1    4.270082e-01  -2.681067e-01  -2.940721e-01  
8.000000e-03	       points1    4.504019e-01  -3.666369e-01  -3.874715e-01  
9.000000e-03	       points1    4.706894e-01  -4.386753e-01  -4.563758e-01  
1.000000e-02	       points1    4.851411e-01  -5.022036e-01  -5.166386e-01  
1.100000e-02	       points1    5.004815e-01  -5.808266e-01  -5.904988e-01  
1.200000e-02	       points1    5.159063e-01  -6.566032e-01  -6.616756e-01  
1.300000e-02	       points1    5.286441e-01  -7.272997e-01  -7.284232e-01  
1.400000e-02	       points1    5.402225e-01  -7.943184e-01  -7.915110e-01  
1.500000e-02	       points1    5.506874e-01  -8.497365e-01  -8.433625e-01  
1.600000e-02	       points1    5.581503e-01  -8.981337e-01  -8.885366e-01  
1.700000e-02	       points1    5.639610e-01  -9.437186e-01  -9.311685e-01  
1.800000e-02	       points1    5.685890e-01  -9.801452e-01  -9.650287e-01  
1.900000e-02	       points1    5.719297e-01  -1.014820e+00  -9.970487e-01  
2.000000e-02	       points1    5.756708e-01  -1.047897e+00  -1.027682e+00  
2.100000e-02	       points1    5.796105e-01  -1.083279e+00  -1.060264e+00  
2.200000e-02	       points1    5.839739e-01  -1.116363e+00  -1.090853e+00  
2.300000e-02	       points1    5.875345e-01  -1.147500e+00  -1.119740e+00  
2.400000e-02	       points1    5.917066e-01  -1.181079e+00  -1.150957e+00  
2.500000e-02	       points1    5.954267e-01  -1.206312e+00  -1.174539e+00  
2.600000e-02	       points1    5.962690e-01  -1.221388e+00  -1.188792e+00  
2.700000e-02	       points1    5.956434e-01  -1.237814e+00  -1.204301e+00  
2.800000e-02	       points1    5.952149e-01  -1.257391e+00  -1.222746e+00  
2.900000e-02	       points1    5.949275e-01  -1.276522e+00  -1.240760e+00  
3.000000e-02	       points1    5.936850e-01  -1.289290e+00  -1.252630e+00  
3.100000e-02	       points1    5.910742e-01  -1.294147e+00  -1.256943e+00  
3.200000e-02	       points1    5.870547e-01  -1.288619e+00  -1.251570e+00  
3.300000e-02	       points1    5.813474e-01  -1.278840e+00  -1.241984e+00  
3.400000e-02	       points1    5.756102e-01  -1.264845e+00  -1.228206e+00  
3.500000e-02	       points1    5.695325e-01  -1.246479e+00  -1.210155e+00  
3.600000e-02	       points1    5.633283e-01  -1.224398e+00  -1.188424e+00  
3.700000e-02	       points1    5.573722e-01  -1.202056e+00  -1.166356e+00  
3.800000e-02	       points1    5.525092e-01  -1.182922e+00  -1.147121e+00  
3.900000e-02	       points1    5.486801e-01  -1.166330e+00  -1.130320e+00  
4.000000e-02	       points1    5.456280e-01  -1.153382e+00  -1.116838e+00  
4.100000e-02	       points1    5.436992e-01  -1.144645e+00  -1.107263e+00  
4.200000e-02	       points1    5.428069e-01  -1.139997e+00  -1.101641e+00  
4.300000e-02	       points1    5.427067e-01  -1.138850e+00  -1.099304e+00  
4.400000e-02	       points1    5.434929e-01  -1.141735e+00  -1.100862e+00  
4.500000e-02	       points1    5.449496e-01  -1.146506e+00  -1.104333e+00  
4.600000e-02	       points1    5.468895e-01  -1.155158e+00  -1.111323e+00  
4.700000e-02	       points1    5.493329e-01  -1.165042e+00  -1.119436e+00  
4.800000e-02	       points1    5.514428e-01  -1.175747e+00  -1.128353e+00  
4.900000e-02	       points1    5.530201e-01  -1.184493e+00  -1.135323e+00  
