# Time       	TotalDataPoints	AveragePoints	AverageValue 	BestFitGradient	MaxSolQuality
1	1	1	9.288983e+00	-0.000000e+00	0.000000e+00
2	2	1	5.062976e+00	-0.000000e+00	0.000000e+00
3	2	1	3.513715e-02	-0.000000e+00	0.000000e+00
4	2	1	-2.146198e+00	-0.000000e+00	0.000000e+00
5	2	1	-1.709766e+00	-0.000000e+00	0.000000e+00
6	3	1	-2.726414e-01	-0.000000e+00	0.000000e+00
7	2	1	7.082931e-01	-0.000000e+00	0.000000e+00
8	2	2	7.950783e-01	3.471412e-01	1.528588e-01
9	3	3	7.321806e-01	-1.528624e-01	5.138043e-01
10	4	4	6.137847e-01	-6.498269e-01	8.422013e-02
11	5	2	1.753633e-01	-3.329347e-01	1.670653e-01
12	6	2	1.026113e-01	4.192678e-02	4.580732e-01
13	4	4	1.709115e-01	-3.813915e-02	6.567490e-01
14	5	5	1.979411e-01	1.113108e-01	6.204932e-01
15	6	2	3.203054e-01	5.698549e-02	4.430145e-01
16	7	3	3.211263e-01	2.506340e-02	5.022687e-01
17	8	4	3.146362e-01	-1.778544e-02	7.322146e-01
18	9	5	3.063932e-01	-5.233091e-02	6.766340e-01
19	10	6	2.993896e-01	-7.190254e-02	5.550688e-01
20	11	2	2.643734e-01	5.570941e-06	4.999944e-01
21	12	3	2.652865e-01	4.110557e-03	6.625561e-01
22	13	4	2.657936e-01	4.626809e-03	5.172665e-01
23	14	5	2.653179e-01	5.136450e-04	7.994864e-01
24	12	6	2.638343e-01	-7.278179e-03	8.260552e-01
25	13	7	2.615521e-01	-1.728827e-02	8.197739e-01
26	14	9	2.603693e-01	-3.100286e-02	7.816147e-01
27	15	10	2.573544e-01	-4.149774e-02	7.394050e-01
28	16	11	2.540480e-01	-5.242067e-02	7.022945e-01
29	17	12	2.505019e-01	-6.362953e-02	6.674406e-01
30	18	13	2.467688e-01	-7.495948e-02	6.344048e-01
31	19	14	2.428425e-01	-8.656777e-02	6.069500e-01
32	20	15	2.388768e-01	-9.766747e-02	5.725340e-01
33	21	3	1.828486e-01	-2.761702e-02	5.606546e-01
34	22	4	1.782632e-01	-3.673897e-02	5.443537e-01
35	23	3	1.645601e-01	-2.640704e-02	5.404925e-01
36	24	3	1.561464e-01	-2.453827e-02	5.286716e-01
37	25	3	1.485021e-01	-2.131441e-02	5.298958e-01
38	26	3	1.417769e-01	-1.880880e-02	5.386950e-01
39	27	3	1.356564e-01	-1.768152e-02	5.485026e-01
40	28	4	1.327694e-01	-2.328755e-02	5.514904e-01
41	29	4	1.270492e-01	-2.257037e-02	5.492007e-01
42	30	4	1.215366e-01	-2.163963e-02	5.470998e-01
43	31	3	1.136386e-01	-1.504209e-02	5.482846e-01
44	32	4	1.112160e-01	-1.965105e-02	5.511709e-01
45	33	4	1.063648e-01	-1.901053e-02	5.562569e-01
46	34	4	1.016905e-01	-1.842892e-02	5.541168e-01
47	35	4	9.725601e-02	-1.739609e-02	5.424945e-01
48	36	3	9.107198e-02	-1.114915e-02	5.439773e-01
49	37	3	8.757670e-02	-9.828172e-03	5.429907e-01
50	38	3	8.438984e-02	-9.092228e-03	5.582103e-01
51	39	4	8.295563e-02	-1.173336e-02	5.537722e-01
52	40	3	7.880454e-02	-7.458549e-03	5.397285e-01
53	41	2	7.555221e-02	-3.367574e-03	9.966324e-01
54	11	2	7.410191e-02	-2.433548e-03	9.975665e-01
55	11	2	7.307055e-02	-1.691797e-03	9.983082e-01
56	12	2	7.244252e-02	-8.203279e-04	9.991797e-01
57	13	2	7.222279e-02	-5.844938e-05	9.999416e-01
