# Time       	TotalDataPoints	AveragePoints	AverageValue 	BestFitGradient	MaxSolQuality
1	1	1	9.322291e+00	-0.000000e+00	0.000000e+00
2	2	1	5.044703e+00	-0.000000e+00	0.000000e+00
3	2	1	3.383694e-02	-0.000000e+00	0.000000e+00
4	2	1	-2.138467e+00	-0.000000e+00	0.000000e+00
5	2	1	-1.681261e+00	-0.000000e+00	0.000000e+00
6	3	1	-2.305872e-01	-0.000000e+00	0.000000e+00
7	2	1	7.510352e-01	-0.000000e+00	0.000000e+00
8	2	2	8.410739e-01	3.601555e-01	1.398445e-01
9	3	3	7.826502e-01	-1.278488e-01	5.388179e-01
10	4	4	6.692820e-01	-6.123529e-01	1.235335e-01
11	5	2	2.557134e-01	-2.938584e-01	2.061416e-01
12	6	2	1.989568e-01	6.683129e-02	4.331687e-01
13	4	4	2.661699e-01	2.345801e-02	7.265420e-01
14	5	5	3.004257e-01	1.859401e-01	5.516627e-01
15	6	2	4.589366e-01	8.595045e-02	4.140495e-01
16	7	2	4.832582e-01	1.133664e-02	4.886634e-01
17	8	3	4.820756e-01	-1.069924e-03	6.655967e-01
18	5	4	4.819068e-01	-1.380923e-03	6.024944e-01
19	6	5	4.848471e-01	1.383831e-02	7.861617e-01
20	7	6	4.909711e-01	4.098446e-02	7.923489e-01
21	8	7	4.995564e-01	7.495731e-02	7.490501e-01
22	9	8	5.090533e-01	1.077603e-01	6.597148e-01
23	10	9	5.190403e-01	1.387910e-01	5.846889e-01
24	11	10	5.294297e-01	1.688238e-01	5.219359e-01
25	12	3	6.225222e-01	7.013772e-02	4.926431e-01
26	13	3	6.458465e-01	6.896481e-02	5.023971e-01
27	14	3	6.691956e-01	7.092858e-02	5.023495e-01
28	15	3	6.932304e-01	7.333226e-02	4.993011e-01
29	16	3	7.178391e-01	7.463459e-02	4.949711e-01
30	17	3	7.425521e-01	7.398175e-02	4.923974e-01
31	18	3	7.668667e-01	7.200905e-02	4.932855e-01
32	19	3	7.905347e-01	6.993150e-02	4.959373e-01
33	20	3	8.136563e-01	6.861287e-02	4.991122e-01
34	21	3	8.364401e-01	6.802973e-02	5.003047e-01
35	22	3	8.590785e-01	6.775713e-02	5.010354e-01
36	23	3	8.815274e-01	6.710714e-02	4.998924e-01
37	24	3	9.037783e-01	6.628650e-02	5.018898e-01
38	25	3	9.258872e-01	6.622591e-02	5.034533e-01
39	25	3	9.475887e-01	6.463358e-02	4.979024e-01
40	22	3	9.693319e-01	6.464063e-02	5.108607e-01
41	22	3	9.900566e-01	6.183130e-02	4.895003e-01
42	23	3	1.010183e+00	5.735331e-02	5.121108e-01
43	22	3	1.028559e+00	5.406965e-02	5.000864e-01
44	23	3	1.045607e+00	4.798598e-02	5.076002e-01
45	22	3	1.061006e+00	4.394643e-02	5.179558e-01
46	22	3	1.075201e+00	4.123853e-02	5.198008e-01
47	22	3	1.088713e+00	3.949486e-02	5.274780e-01
48	22	3	1.101696e+00	3.850225e-02	5.265570e-01
49	22	3	1.114267e+00	3.699206e-02	5.264922e-01
50	22	3	1.126095e+00	3.429955e-02	5.221214e-01
51	23	3	1.137016e+00	3.107681e-02	5.271630e-01
52	23	3	1.146969e+00	2.853916e-02	5.310977e-01
53	23	3	1.156276e+00	2.704211e-02	5.386922e-01
54	23	3	1.165070e+00	2.586134e-02	5.357669e-01
55	24	3	1.173459e+00	2.441420e-02	5.384572e-01
56	24	3	1.181335e+00	2.291347e-02	5.370503e-01
57	25	3	1.188851e+00	2.191920e-02	5.457085e-01
58	25	4	1.192396e+00	2.871085e-02	5.437815e-01
59	26	3	1.202994e+00	2.049525e-02	5.461817e-01
60	26	4	1.206275e+00	2.667836e-02	5.428858e-01
61	27	3	1.216021e+00	1.851383e-02	5.448193e-01
62	28	3	1.221972e+00	1.730190e-02	5.413342e-01
63	29	3	1.227594e+00	1.627699e-02	5.490855e-01
64	29	4	1.230147e+00	2.093712e-02	5.429285e-01
65	30	3	1.237696e+00	1.394767e-02	5.463790e-01
66	31	3	1.242059e+00	1.240103e-02	5.366350e-01
67	32	3	1.245971e+00	1.087727e-02	5.474043e-01
68	32	3	1.249358e+00	9.559231e-03	5.389744e-01
69	33	3	1.252389e+00	8.453928e-03	5.528440e-01
70	33	4	1.253663e+00	1.062408e-02	5.414316e-01
71	34	3	1.257492e+00	6.956247e-03	5.639826e-01
72	34	2	1.260946e+00	4.505210e-03	9.954948e-01
73	11	2	1.263211e+00	4.565682e-03	9.954343e-01
74	11	2	1.265258e+00	3.631546e-03	9.963685e-01
75	12	2	1.266968e+00	3.191303e-03	9.968087e-01
76	13	2	1.268317e+00	2.186987e-03	9.978130e-01
77	13	2	1.269385e+00	2.101600e-03	9.978984e-01
78	14	2	1.270402e+00	1.968754e-03	9.980312e-01
79	15	2	1.271396e+00	2.025846e-03	9.979742e-01
80	16	2	1.272246e+00	1.382985e-03	9.986170e-01
81	17	2	1.272851e+00	1.043469e-03	9.989565e-01
82	18	2	1.273277e+00	6.686206e-04	9.993314e-01
83	19	2	1.273672e+00	9.276695e-04	9.990723e-01
84	20	2	1.274056e+00	6.254312e-04	9.993746e-01
85	20	2	1.274411e+00	8.054266e-04	9.991946e-01
86	21	2	1.274690e+00	3.217073e-04	9.996783e-01
87	22	2	1.274880e+00	4.382123e-04	9.995618e-01
88	23	2	1.275009e+00	7.721763e-05	9.999228e-01
