# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
3.3000000000e+01	pad1_to_disk	5.6905413158e+04	7.8869063865e+04	9.8661202497e+02
3.4000000000e+01	pad1_to_default	1.4982528662e+04	4.4726476931e+04	5.1424099519e+02
3.4000000000e+01	pad1_to_disk	5.7051974726e+04	7.8584862171e+04	9.8597973543e+02
3.5000000000e+01	pad1_to_default	1.5161691407e+04	4.4563874756e+04	5.1466686797e+02
3.5000000000e+01	pad1_to_disk	5.7202186612e+04	7.8266680198e+04	9.8553760152e+02
3.6000000000e+01	pad1_to_default	1.5191009128e+04	4.4394462182e+04	5.1493783091e+02
3.6000000000e+01	pad1_to_disk	5.7350674981e+04	7.7939780174e+04	9.8524620495e+02
3.7000000000e+01	pad1_to_default	1.5022649123e+04	4.4215473470e+04	5.1511525355e+02
3.7000000000e+01	pad1_to_disk	5.7494728381e+04	7.7706034711e+04	9.8505977743e+02
3.8000000000e+01	pad1_to_default	1.4916338817e+04	4.4033924631e+04	5.1523364894e+02
3.8000000000e+01	pad1_to_disk	5.7629887707e+04	7.7437794317e+04	9.8492836910e+02
3.9000000000e+01	pad1_to_default	1.4854080577e+04	4.3847407538e+04	5.1532639659e+02
3.9000000000e+01	pad1_to_disk	5.7755059030e+04	7.7347695835e+04	9.8482408533e+02
4.0000000000e+01	pad1_to_default	1.4771818793e+04	4.3665573114e+04	5.1544171122e+02
4.0000000000e+01	pad1_to_disk	5.7868064141e+04	7.7648349431e+04	9.8470282801e+02
4.1000000000e+01	pad1_to_default	1.4739866148e+04	4.3482943638e+04	5.1558270017e+02
4.1000000000e+01	pad1_to_disk	5.7969100496e+04	7.7911319501e+04	9.8455693420e+02
4.2000000000e+01	pad1_to_default	1.4744794679e+04	4.3307799168e+04	5.1574811672e+02
4.2000000000e+01	pad1_to_disk	5.8057303479e+04	7.8137333793e+04	9.8437187434e+02
4.3000000000e+01	pad1_to_default	1.4756239150e+04	4.3139275054e+04	5.1590949160e+02
4.3000000000e+01	pad1_to_disk	5.8134921190e+04	7.8324311970e+04	9.8418530004e+02
4.4000000000e+01	pad1_to_default	1.4758237722e+04	4.2982431879e+04	5.1605794594e+02
4.4000000000e+01	pad1_to_disk	5.8202410863e+04	7.8470482634e+04	9.8400512512e+02
4.5000000000e+01	pad1_to_default	1.4747813525e+04	4.2831773070e+04	5.1622348868e+02
4.5000000000e+01	pad1_to_disk	5.8261880432e+04	7.8574005663e+04	9.8381839997e+02
4.6000000000e+01	pad1_to_default	1.4758917716e+04	4.2691122012e+04	5.1635601031e+02
4.6000000000e+01	pad1_to_disk	5.8317092083e+04	7.8646338222e+04	9.8365796259e+02
4.7000000000e+01	pad1_to_default	1.4819106126e+04	4.2555864050e+04	5.1652622071e+02
4.7000000000e+01	pad1_to_disk	5.8366112917e+04	7.8690596087e+04	9.8348605577e+02
4.8000000000e+01	pad1_to_default	1.4932838845e+04	4.2430532156e+04	5.1662637693e+02
4.8000000000e+01	pad1_to_disk	5.8413103436e+04	7.8719210114e+04	9.8335889708e+02
4.9000000000e+01	pad1_to_default	1.5077845846e+04	4.2310635810e+04	5.1667127212e+02
4.9000000000e+01	pad1_to_disk	5.8459865835e+04	7.8736066267e+04	9.8328833468e+02
5.0000000000e+01	pad1_to_default	1.5203313517e+04	4.2200275685e+04	5.1668527960e+02
5.0000000000e+01	pad1_to_disk	5.8506759129e+04	7.8746687272e+04	9.8325954304e+02
