(
(0.0001         0.0001)
(0.001         0.001)
(0.00568841874 0.005688418)
(0.01776677496 0.017766622)
(0.03133468278 0.031334207)
(0.04657583972 0.046574780)
(0.06369659759 0.063694589)
(0.08292875638 0.082925303)
(0.1045327025 0.1045271579)
(0.1288009345 0.1287924665)
(0.1560620227 0.1560495821)
(0.1866850582 0.1866673375)
(0.2210846499 0.2210600361)
(0.2597265381 0.2596930579)
(0.3031338998 0.3030891552)
(0.3518944322 0.3518355251)
(0.4066683101 0.4065917526)
(0.4681971237 0.4680987301)
(0.5373139188 0.5371886736)
(0.6149544758 0.6147963643)
(0.7021699794 0.7019717581)
(0.8001412506 0.7998941115)
(0.9101947339 0.909887768)
(1.033820457 1.03343972)
(1.172692202 1.172218971)
(1.328690172 1.328097529)
(1.50392644  1.5031724)
(1.700773551 1.699786974)
(1.921896642 1.920548263)
(2.170289524 2.168332433)
(2.449315219 2.446263581)
(2.762751488 2.757637189)
(3.11484198 3.105738388)
(3.510353693 3.493479262)
(3.954641505 3.922769333)
(4.453720681 4.393593398)
(5.014348314 4.90297625)
(5.644114809 5.444342846)
(6.351546649 6.007927938)
(7.146221835 6.582419409)
(8.038899568 7.15712872)
(9.041665921 7.723619456)
(10.16809746 8.277613912)
(11.43344509 8.817135119)
(12.85484049 9.339689043)
(14.4515281 9.843159686)
(16.24512566 10.32648969)
(18.25991691 10.78963666)
(20.52318034 11.23359955)
(23.06555855 11.66091653)
(25.92147309 12.07416301)
(29.12959054 12.4748346)
(32.73334596 12.86414766)
(36.78153102 13.24323195)
(41.32895461 13.61312407)
(46.43718481 13.97476768)
(52.17538256 14.32901746)
(58.62123799 14.67664518)
(65.86202232 15.01834651)
(73.99576937 15.35474818)
(83.1326029 15.68641493)
(93.3962276 16.01385598)
(104.9256039 16.33753117)
(117.8768294 16.65785638)
(132.4252522 16.97520855)
(148.7678452 17.28993011)
(167.1258727 17.60233293)
(187.7478862 17.91270182)
(210.9130895 18.22129765)
(236.9351191 18.52836001)
(266.1662904 18.83410959)
(299.0023676 19.13875015)
(335.8879224 19.44247018)
(377.3223524 19.74544429)
(423.8666433 20.04783416)
(476.1509641 20.34978918)
(534.8831982 20.65144676)
(600.8585281 20.95293207)
(674.9702019 21.25435738)
(758.2216263 21.55582066)
(851.739952 21.85740355)
(956.7913348 22.1591682)
(1074.798078 22.46115309)
(1207.357888 22.76336715)
(1356.265509 23.06578194)
(1523.537018 23.36832125)
(1711.437124 23.67084728)
(1922.50983 23.97314233)
(2159.612872 24.27488469)
(2425.956418 24.57561672)
(2725.146524 24.87470278)
(3061.23396 25.17127373)
(3438.769056 25.46415394)
(3862.863302 25.75176581)
(4339.258559 26.03200574)
(4874.404801 26.30208502)
(5475.547436 26.55832901)
(6150.825406 26.79592846)
(6909.381379 27.00863307)
(7761.485533 27.18835413)
(8718.674606 27.32454896)
(9793.908098 27.40299111)
)
