#distance	epsilon	k	nut
0	0.8493223881	1.048542833	0.02922705809
5.050505051	0.0920365052	0.8616941961	0.7555660418
10.1010101	0.03095010136	0.6776264443	1.363472122
15.15151515	0.01712415105	0.6167182009	2.020288068
20.2020202	0.0127288967	0.6021675244	2.574673077
25.25252525	0.01096665016	0.6006704184	2.966248638
30.3030303	0.01011170194	0.6016855849	3.224651092
35.35353535	0.009642860009	0.6032488486	3.397711424
40.4040404	0.009377689286	0.6059000783	3.523929898
45.45454545	0.0092026393	0.6082310626	3.618476111
50.50505051	0.009073733532	0.6091163608	3.680454876
55.55555556	0.008970110378	0.608437738	3.714654158
60.60606061	0.00886109224	0.6060987914	3.731530894
65.65656566	0.008741542685	0.6023925632	3.736394763
70.70707071	0.008633226362	0.5971162811	3.717187358
75.75757576	0.008501534847	0.5905956661	3.692878851
80.80808081	0.008352347895	0.5834635228	3.668711719
85.85858586	0.008177023921	0.5757006762	3.648394967
90.90909091	0.008009544039	0.5676550848	3.621229642
95.95959596	0.007844863335	0.5593543517	3.589767815
101.010101	0.007703713589	0.5517305804	3.556542204
106.0606061	0.007564903441	0.5444338522	3.526647821
111.1111111	0.007440025055	0.5382197663	3.50451147
116.1616162	0.007318964974	0.5322577823	3.48393296
121.2121212	0.007208520712	0.5268207695	3.465413103
126.2626263	0.007111534231	0.5213551327	3.440096511
131.3131313	0.007025374549	0.516280714	3.414812548
136.3636364	0.006942957275	0.5112499665	3.388329415
141.4141414	0.006870691967	0.5065978714	3.361998189
146.4646465	0.006801320416	0.5020194853	3.335234296
151.5151515	0.006737698879	0.4969006775	3.298543387
156.5656566	0.006678471476	0.4921712858	3.264812994
161.6161616	0.006643527058	0.4884580008	3.232675749
166.6666667	0.006614293327	0.4853263551	3.205436836
171.7171717	0.006588114319	0.4828123574	3.184897726
176.7676768	0.00658626946	0.4817549527	3.171894755
181.8181818	0.006579950309	0.4808388456	3.16291433
186.8686869	0.006579881536	0.480023923	3.152307611
191.9191919	0.006590326892	0.4793018747	3.13793096
196.969697	0.006603735087	0.4784497722	3.120462014
202.020202	0.006619865999	0.4783054171	3.111043217
207.0707071	0.006639238564	0.4791023312	3.112507448
212.1212121	0.006663880346	0.4803108105	3.116785468
217.1717172	0.006690289354	0.4815449049	3.120576202
222.2222222	0.006719040428	0.4825783068	3.120734379
227.2727273	0.006748411234	0.4836152602	3.120686995
232.3232323	0.006778397844	0.4846557426	3.120435353
237.3737374	0.006809051383	0.4859635334	3.123064565
242.4242424	0.00683989683	0.4873482416	3.126522738
247.4747475	0.006869954323	0.4881774975	3.123314942
252.5252525	0.00689989279	0.4890292622	3.120478554
257.5757576	0.006929089719	0.4909105145	3.13147435
262.6262626	0.006958040262	0.4927808802	3.142441299
267.6767677	0.006983550646	0.4944992429	3.153005483
272.7272727	0.007008104415	0.4960644813	3.162048565
277.7777778	0.00701985263	0.495579949	3.150729686
282.8282828	0.007031600844	0.4950954166	3.139410807
287.8787879	0.007044641893	0.4950859032	3.133454213
292.9292929	0.007057794859	0.4951175108	3.127961816
297.979798	0.007064077349	0.4952611331	3.127364889
303.030303	0.007068320912	0.4954379977	3.128220775
308.0808081	0.00707563851	0.4959072871	3.13137722
313.1313131	0.007086585673	0.4967218475	3.137249975
318.1818182	0.007100244317	0.4977211963	3.144237468
323.2323232	0.007129765689	0.499801596	3.157746416
328.2828283	0.007159287062	0.5018819957	3.171255364
333.3333333	0.007194216786	0.5040479195	3.183586991
338.3838384	0.00723196291	0.5062583801	3.195305528
343.4343434	0.007267097274	0.5081286847	3.203803202
348.4848485	0.007289403765	0.5083282852	3.196481342
353.5353535	0.007311710257	0.5085278857	3.189159482
358.5858586	0.007335573132	0.5089778374	3.184199459
363.6363636	0.007361045878	0.509686744	3.181682439
368.6868687	0.007386518623	0.5103956506	3.179165419
373.7373737	0.007410827651	0.5110274694	3.176642355
378.7878788	0.007434870677	0.5116416676	3.17411791
383.8383838	0.007458913704	0.5122558657	3.171593464
388.8888889	0.007477136946	0.5128175566	3.170759741
393.9393939	0.007494940677	0.5133754625	3.170047892
398.989899	0.007513701528	0.5140054183	3.169849817
404.040404	0.007550062146	0.5159602462	3.179099155
409.0909091	0.007586422764	0.5179150741	3.188348492
414.1414141	0.007622783382	0.519869902	3.19759783
419.1919192	0.007654899616	0.5212573999	3.201715142
424.2424242	0.007686798729	0.5226158762	3.205569925
429.2929293	0.007718697841	0.5239743524	3.209424708
434.3434343	0.007922587906	0.5337443409	3.247361487
439.3939394	0.008156569782	0.5449860211	3.291261306
444.4444444	0.008390551659	0.5562277013	3.335161125
449.4949495	0.00862308696	0.5673221359	3.377884436
454.5454545	0.008854260694	0.5782779777	3.419500375
459.5959596	0.009085434428	0.5892338195	3.461116314
464.6464646	0.009313739893	0.6000782018	3.502466357
469.6969697	0.009528905876	0.6104119907	3.542598337
474.7474747	0.009744071859	0.6207457795	3.582730317
479.7979798	0.009959237842	0.6310795683	3.622862297
484.8484848	0.01017337641	0.6412953151	3.662014424
489.8989899	0.01038679981	0.6514288934	3.70048448
494.9494949	0.01060022321	0.6615624718	3.738954536
500	0.0108136466	0.6716960502	3.777424592
