#distance	epsilon	k	nut
0	1.547899083	1.510263344	0.03507971865
5.050505051	0.08180285946	1.034076036	1.248714329
10.1010101	0.04495420696	1.111526696	2.482409935
15.15151515	0.03873749469	1.110721023	2.86751236
20.2020202	0.03644623406	1.091309186	2.941265976
25.25252525	0.03513890169	1.073151755	2.950004799
30.3030303	0.03407752048	1.0582152	2.958195994
35.35353535	0.03316889873	1.048705249	2.985251727
40.4040404	0.0326188561	1.04066891	2.989076456
45.45454545	0.03226562566	1.03294201	2.976938252
50.50505051	0.03186947105	1.032891742	3.013999554
55.55555556	0.031678737	1.033019959	3.033156604
60.60606061	0.03157241878	1.030091843	3.026242969
65.65656566	0.03146798684	1.029216775	3.030923338
70.70707071	0.03139162627	1.027851407	3.030017572
75.75757576	0.03134960416	1.023853294	3.010502262
80.80808081	0.03134816395	1.020581157	2.991641343
85.85858586	0.03114494294	1.01521316	2.979836234
90.90909091	0.0308435869	1.010024841	2.978705787
90.90909091	0.0308435869	1.010024841	2.978705787
95.95959596	0.03047532536	1.004400615	2.981561103
95.95959596	0.03047532536	1.004400615	2.981561103
101.010101	0.0303283608	1.002736728	2.986294544
101.010101	0.0303283608	1.002736728	2.986294544
106.0606061	0.0301914662	1.000865626	2.988769835
106.0606061	0.0301914662	1.000865626	2.988769835
111.1111111	0.02993152755	0.9942400675	2.974498641
111.1111111	0.02993152755	0.9942400675	2.974498641
116.1616162	0.02967210086	0.9878356226	2.961423399
121.2121212	0.02950411243	0.98266485	2.946702551
126.2626263	0.02942866612	0.9782179368	2.927275616
131.3131313	0.02947248223	0.9767912477	2.914284435
136.3636364	0.02950746748	0.9756690445	2.90402852
141.4141414	0.0294792998	0.973320965	2.892724998
146.4646465	0.02944591115	0.9718605634	2.887247692
151.5151515	0.02946567884	0.9704934003	2.877219548
156.5656566	0.02946093078	0.9694119496	2.871352619
161.6161616	0.02951664324	0.9692308413	2.864904468
166.6666667	0.02956744512	0.9698123528	2.863423591
171.7171717	0.02957468989	0.9710304904	2.869943987
176.7676768	0.02951294777	0.9726854053	2.88581167
181.8181818	0.02948357881	0.9733426425	2.892540728
186.8686869	0.02946267555	0.9739355006	2.898072209
191.9191919	0.02944210659	0.9747977283	2.905206001
196.969697	0.02944141363	0.9749281987	2.90625265
202.020202	0.02950425287	0.9756915334	2.904788298
207.0707071	0.0296481301	0.9773639772	2.900701907
212.1212121	0.02977146373	0.9792455554	2.899880942
217.1717172	0.02988104399	0.9809667073	2.899462515
222.2222222	0.02995807214	0.9819940114	2.898131881
227.2727273	0.03001966663	0.9828963471	2.897411816
232.3232323	0.0300659253	0.9836745067	2.897298447
237.3737374	0.03008032281	0.9836597491	2.895710811
242.4242424	0.03008555233	0.9834168312	2.893698956
247.4747475	0.03010190804	0.9829840072	2.889469713
252.5252525	0.03012016544	0.9825581883	2.885107208
257.5757576	0.03015211731	0.9824742714	2.881599912
262.6262626	0.03018397457	0.9823712104	2.877983114
267.6767677	0.03021451071	0.9820008513	2.872837411
272.7272727	0.03024447206	0.9817424085	2.868410961
277.7777778	0.0302667393	0.9829821137	2.87361267
282.8282828	0.03028900653	0.984221819	2.87881438
287.8787879	0.03032618347	0.9855110952	2.88283839
292.9292929	0.0303646511	0.9868046627	2.88676045
297.979798	0.03035547256	0.9877050222	2.892840379
303.030303	0.03033215422	0.9884886907	2.899560692
308.0808081	0.03033697691	0.9893311701	2.90407172
313.1313131	0.03037502616	0.9902430884	2.905974209
318.1818182	0.0304097284	0.9910122141	2.907325826
323.2323232	0.0304248499	0.9909459727	2.905454727
328.2828283	0.0304399714	0.9908797313	2.903583628
333.3333333	0.03045413111	0.9904107378	2.899540167
338.3838384	0.03046778998	0.9897320111	2.894365448
343.4343434	0.03048264825	0.9893904807	2.891036056
348.4848485	0.03050339754	0.9907051176	2.89677014
353.5353535	0.03052414683	0.9920197545	2.902504224
358.5858586	0.03055078313	0.9934705898	2.908419974
363.6363636	0.03058350875	0.9950623039	2.914523633
368.6868687	0.03061623437	0.996654018	2.920627292
373.7373737	0.03060954659	0.9964413115	2.92001554
378.7878788	0.03059384971	0.9958161512	2.917868783
383.8383838	0.03057815283	0.995190991	2.915722025
388.8888889	0.03055887186	0.9951597197	2.9173407
393.9393939	0.03053933253	0.9951712583	2.919230802
398.989899	0.0305212818	0.9950595174	2.920266168
404.040404	0.03053060383	0.9926808833	2.905584431
409.0909091	0.03053992586	0.9903022491	2.890902694
414.1414141	0.03054924789	0.9879236149	2.876220957
419.1919192	0.0305303287	0.9856119621	2.86454127
424.2424242	0.03050996484	0.9833037358	2.853015151
429.2929293	0.03048960097	0.9809955095	2.841489032
434.3434343	0.03059187272	0.9838067264	2.848464467
439.3939394	0.03071560099	0.9875136493	2.858676963
444.4444444	0.03083932927	0.9912205721	2.868889459
449.4949495	0.03095895411	0.9948903546	2.879261371
454.5454545	0.03107471665	0.9985251793	2.88978333
459.5959596	0.03119047918	1.002160004	2.90030529
464.6464646	0.03130147566	1.005892661	2.911832015
469.6969697	0.03139063888	1.010073485	2.927961554
474.7474747	0.03147980211	1.014254309	2.944091092
479.7979798	0.03156896533	1.018435133	2.960220631
484.8484848	0.03166304159	1.022569457	2.975643488
489.8989899	0.0317605378	1.026671412	2.990574428
494.9494949	0.03185803401	1.030773368	3.005505368
500	0.03195553021	1.034875323	3.020436308
