# Time           	Umin             	at location      	Umax             	at location      	Umean            	UstDev           	pmin             	at location      	pmax             	at location      	pmean            	pstDev           
1                1.7961381017e-02 ( 2.5277241227e+00 3.0124171914e-02 -9.8351816757e-01 ) 1.1678836700e+02 ( -4.6755123144e-02 1.6902888300e+00 -4.5880887366e-01 ) 2.2360380343e+00 2.6956176894e+00 -1.0237414870e+04 ( -8.2901910753e-02 1.7157351355e+00 4.1978590682e-01 ) -3.7180466023e+01 ( 4.3295353391e+00 1.3622547930e+00 2.9459809226e-01 ) -6.8494158990e+02 3.1728758181e+02 
2                3.6060187744e-01 ( 1.7906152247e-01 2.9726666743e-02 9.8396713386e-01 ) 8.2481739986e+01 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) 3.1952303077e+00 2.3275500063e+00 -7.8612649062e+03 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) 4.9557715672e+02 ( 4.3102743590e-03 1.9765857231e+00 4.6342048310e-01 ) -5.2012878008e+01 1.1592486685e+02 
3                3.7554782738e-02 ( 2.8258979288e+00 1.7907579925e-02 -9.6706001729e-01 ) 7.1045891989e+01 ( -8.0100578667e-02 1.8304846788e+00 4.9963558865e-01 ) 2.4843737012e+00 2.1118270511e+00 -8.7988524884e+03 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) 4.5288204198e+02 ( 4.3102743590e-03 1.9765857231e+00 4.6342048310e-01 ) 4.7376887940e+01 1.5813166318e+02 
4                3.2041364139e-02 ( 8.8772704575e-01 4.8835613570e-03 9.7704095870e-01 ) 8.1303563277e+01 ( -8.0074282915e-02 1.8578194999e+00 -4.9988556757e-01 ) 1.8053925413e+00 2.2448591920e+00 -9.2552383174e+03 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) 6.8911314001e+01 ( 3.9190719198e-03 1.9781472019e+00 -9.7816816823e-01 ) -3.0179680839e+01 1.6366054442e+02 
5                2.3834810242e-02 ( 2.6185962144e-02 4.9732351452e-03 2.7777685399e-01 ) 9.5979030187e+01 ( -8.0100578667e-02 1.8304846788e+00 4.9963558865e-01 ) 1.7726093760e+00 2.5356166147e+00 -1.0732232820e+04 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) -1.3899128472e+01 ( 4.3295352708e+00 1.9938008857e+00 -9.6880481639e-01 ) -2.0866957247e+02 2.0669765368e+02 
6                2.9399054894e-02 ( 2.6209090904e+00 1.1851249112e-02 -4.4442854411e-01 ) 1.0874501754e+02 ( -8.0100578667e-02 1.8304846788e+00 4.9963558865e-01 ) 2.1751947802e+00 2.7657761096e+00 -1.1516457171e+04 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) -2.0123434738e+01 ( 4.3295352708e+00 1.9938008857e+00 -9.6880481639e-01 ) -2.5890485440e+02 2.2261731594e+02 
7                8.6047129293e-02 ( 2.5680139755e-01 1.4482073394e-01 9.1419967938e-01 ) 1.1866485816e+02 ( -8.0100578667e-02 1.8304846788e+00 4.9963558865e-01 ) 2.5890906462e+00 2.9477091630e+00 -1.2002412327e+04 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) -2.4386213384e+01 ( 4.3295353391e+00 2.3027578359e-01 -4.4392006520e-01 ) -2.6489179404e+02 2.2545611255e+02 
8                7.7469307393e-02 ( 4.7809010956e-01 1.1196202014e-01 9.1853622622e-01 ) 1.2000000000e+02 ( -7.9565693948e-02 1.7687903060e+00 4.9968010237e-01 ) 2.7751078720e+00 3.0522420532e+00 -1.2530599339e+04 ( -4.8185191603e-02 1.7155795782e+00 4.1948695718e-01 ) -2.7346092572e+01 ( 4.3295353394e+00 1.6041392210e-01 -3.7026645070e-01 ) -2.6354843220e+02 2.3220738846e+02 
9                4.5037432178e-02 ( 4.4047251881e-01 4.4130133029e-02 9.3203507746e-01 ) 1.2000000000e+02 ( -8.0069966001e-02 1.8306539238e+00 -4.9975334121e-01 ) 2.7788848099e+00 3.1088641397e+00 -1.3187540352e+04 ( -4.8186958014e-02 1.7155855981e+00 -4.1948296079e-01 ) -2.8891888344e+01 ( 4.3295347524e+00 4.3618943927e-02 -9.5530261816e-01 ) -2.6611926288e+02 2.4428531086e+02 
10               1.0303618620e-01 ( 4.0321159320e-01 4.4126212089e-02 9.3204211237e-01 ) 1.2000000000e+02 ( -8.0069966001e-02 1.8306539238e+00 -4.9975334121e-01 ) 2.7382998955e+00 3.1579442051e+00 -1.3890684155e+04 ( -4.8186958014e-02 1.7155855981e+00 -4.1948296079e-01 ) -2.8912115430e+01 ( 4.3295340170e+00 1.9343421182e+00 -9.9370296954e-01 ) -2.6920052790e+02 2.5819650119e+02 
