# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
2.9000000000e+01	pad1_to_disk	5.0762017724e+04	7.9090430989e+04	9.4535642023e+02
3.0000000000e+01	pad1_to_default	1.2230719645e+04	5.3566614072e+04	5.5873905871e+02
3.0000000000e+01	pad1_to_disk	5.0829492770e+04	7.8677468119e+04	9.4233976949e+02
3.1000000000e+01	pad1_to_default	1.2668879605e+04	5.3648531394e+04	5.6189475110e+02
3.1000000000e+01	pad1_to_disk	5.0888054818e+04	7.8175123076e+04	9.3924268663e+02
3.2000000000e+01	pad1_to_default	1.2924581522e+04	5.3678824293e+04	5.6489750776e+02
3.2000000000e+01	pad1_to_disk	5.0950090513e+04	7.7602973107e+04	9.3623858118e+02
3.3000000000e+01	pad1_to_default	1.3108741189e+04	5.3649287572e+04	5.6765920405e+02
3.3000000000e+01	pad1_to_disk	5.1022292333e+04	7.7156462222e+04	9.3345074201e+02
3.4000000000e+01	pad1_to_default	1.3129910481e+04	5.3576751314e+04	5.7007285147e+02
3.4000000000e+01	pad1_to_disk	5.1105403648e+04	7.6722170071e+04	9.3096043118e+02
3.5000000000e+01	pad1_to_default	1.3106975357e+04	5.3475073934e+04	5.7213932740e+02
3.5000000000e+01	pad1_to_disk	5.1198448208e+04	7.6303078268e+04	9.2881580000e+02
3.6000000000e+01	pad1_to_default	1.3127414077e+04	5.3348172827e+04	5.7388757957e+02
3.6000000000e+01	pad1_to_disk	5.1299543998e+04	7.5877990025e+04	9.2700464518e+02
3.7000000000e+01	pad1_to_default	1.3310921083e+04	5.3203630331e+04	5.7534606750e+02
3.7000000000e+01	pad1_to_disk	5.1402106209e+04	7.5413324449e+04	9.2548073535e+02
3.8000000000e+01	pad1_to_default	1.3362615300e+04	5.3047221738e+04	5.7658606550e+02
3.8000000000e+01	pad1_to_disk	5.1500664077e+04	7.5130314829e+04	9.2416509168e+02
3.9000000000e+01	pad1_to_default	1.3233896782e+04	5.2882504890e+04	5.7763716115e+02
3.9000000000e+01	pad1_to_disk	5.1592573525e+04	7.4905026942e+04	9.2304807713e+02
4.0000000000e+01	pad1_to_default	1.3182183949e+04	5.2716336442e+04	5.7858454606e+02
4.0000000000e+01	pad1_to_disk	5.1674433187e+04	7.4900020009e+04	9.2206451206e+02
4.1000000000e+01	pad1_to_default	1.3182640357e+04	5.2547725521e+04	5.7940802194e+02
4.1000000000e+01	pad1_to_disk	5.1743749230e+04	7.5395879681e+04	9.2119617827e+02
4.2000000000e+01	pad1_to_default	1.3204048602e+04	5.2382302270e+04	5.8015458427e+02
4.2000000000e+01	pad1_to_disk	5.1799906959e+04	7.5832613968e+04	9.2040491892e+02
4.3000000000e+01	pad1_to_default	1.3210728770e+04	5.2218577511e+04	5.8098152113e+02
4.3000000000e+01	pad1_to_disk	5.1842607869e+04	7.6186273488e+04	9.1956666232e+02
4.4000000000e+01	pad1_to_default	1.3172467115e+04	5.2063372847e+04	5.8178253495e+02
4.4000000000e+01	pad1_to_disk	5.1793138955e+04	7.6453646352e+04	9.1874558170e+02
